"edition_id","country_noc","participants"
15,"TUR",38
15,"UAR",41
15,"UGA",12
15,"URS",231
15,"URU",21
15,"USA",231
15,"VEN",36
15,"VNM",4
15,"WIF",13
15,"YUG",72
15,"ZIM",2
16,"AFG",8
16,"AHO",4
16,"ALG",1
16,"ARG",82
16,"AUS",186
16,"AUT",52
16,"BAH",6
16,"BEL",34
16,"BER",2
16,"BOL",3
16,"BRA",19
16,"BUL",56
16,"CAM",10
16,"CAN",78
16,"CGO",2
16,"CHA",2
16,"CHI",14
16,"CIV",9
16,"CMR",1
16,"COL",22
16,"CRC",2
16,"CUB",21
16,"DEN",42
16,"DOM",1
16,"EGY",33
16,"ESP",39
16,"ETH",13
16,"FIN",72
16,"FRA",117
16,"GBR",183
16,"GER",271
16,"GHA",21
16,"GRE",17
16,"GUY",1
16,"HKG",21
16,"HUN",141
16,"IND",38
16,"IRI",51
16,"IRL",24
16,"IRQ",14
16,"ISL",4
16,"ISR",10
16,"ITA",122
16,"JAM",18
16,"JPN",278
16,"KEN",22
16,"KOR",104
16,"LBN",6
16,"LBR",1
16,"LIE",2
16,"LUX",12
16,"MAD",3
16,"MAR",9
16,"MAS",45
16,"MEX",70
16,"MGL",22
16,"MLI",2
16,"MON",1
16,"MYA",11
16,"NED",72
16,"NEP",6
16,"NGR",15
16,"NIG",1
16,"NOR",17
16,"NZL",39
16,"PAK",25
16,"PAN",12
16,"PER",21
16,"PHI",43
16,"POL",113
16,"POR",17
16,"PUR",21
16,"ROU",98
16,"SEN",8
16,"SRI",6
16,"SUI",61
16,"SWE",96
16,"TAN",4
16,"TCH",63
16,"THA",50
16,"TPE",42
16,"TTO",13
16,"TUN",10
16,"TUR",22
16,"UGA",16
16,"URS",252
16,"URU",11
16,"USA",264
16,"VEN",15
16,"VNM",16
16,"YUG",29
16,"ZAM",12
16,"ZIM",14
17,"AFG",5
17,"AHO",5
17,"ALG",3
17,"ARG",72
17,"AUS",109
17,"AUT",42
17,"BAH",14
17,"BAR",10
17,"BEL",52
17,"BER",4
17,"BIZ",7
17,"BOL",4
17,"BRA",33
17,"BUL",73
17,"CAF",1
17,"CAN",132
17,"CHA",4
17,"CHI",22
17,"CIV",7
17,"CMR",6
17,"COD",5
17,"COL",28
17,"CRC",20
17,"CUB",98
17,"DEN",49
17,"DOM",17
17,"ECU",23
17,"EGY",21
17,"ESA",45
17,"ESP",68
17,"ETH",20
17,"FIJ",1
17,"FIN",66
17,"FRA",152
17,"FRG",229
17,"GBR",200
17,"GDR",168
17,"GHA",19
17,"GRE",33
17,"GUA",31
17,"GUI",1
17,"GUY",5
17,"HKG",8
17,"HON",6
17,"HUN",144
17,"INA",5
17,"IND",12
17,"IRI",14
17,"IRL",34
17,"IRQ",3
17,"ISL",8
17,"ISR",13
17,"ISV",5
17,"ITA",147
17,"JAM",27
17,"JPN",122
17,"KEN",30
17,"KOR",35
17,"KUW",2
17,"LBA",1
17,"LBN",11
17,"LIE",2
17,"LUX",5
17,"MAD",4
17,"MAR",15
17,"MAS",15
17,"MEX",191
17,"MGL",16
17,"MLI",2
17,"MLT",1
17,"MON",2
17,"MYA",4
17,"NCA",11
17,"NED",65
17,"NGR",20
17,"NIG",2
17,"NOR",39
17,"NZL",28
17,"PAK",3
17,"PAN",5
17,"PAR",1
17,"PER",18
17,"PHI",42
17,"POL",144
17,"POR",17
17,"PUR",54
17,"ROU",72
17,"SEN",11
17,"SGP",5
17,"SLE",3
17,"SMR",4
17,"SRI",3
17,"SUD",5
17,"SUI",77
17,"SUR",1
17,"SWE",99
17,"SYR",2
17,"TAN",4
17,"TCH",71
17,"THA",25
17,"TPE",43
17,"TTO",16
17,"TUN",7
17,"TUR",29
17,"UGA",11
17,"URS",250
17,"URU",26
17,"USA",293
17,"VEN",23
17,"VNM",11
17,"YUG",48
17,"ZAM",7
18,"AFG",8
18,"AHO",2
18,"ALB",5
18,"ALG",5
18,"ARG",62
18,"AUS",116
18,"AUT",85
18,"BAH",14
18,"BAR",13
18,"BEL",60
18,"BEN",4
18,"BER",4
18,"BIZ",1
18,"BOL",11
18,"BRA",40
18,"BUL",112
18,"BUR",1
18,"CAM",11
18,"CAN",189
18,"CGO",6
18,"CHA",4
18,"CHI",11
18,"CIV",9
18,"CMR",12
18,"COL",44
18,"CRC",3
18,"CUB",89
18,"DEN",79
18,"DOM",5
18,"ECU",6
18,"EGY",14
18,"ESA",14
18,"ESP",60
18,"ETH",29
18,"FIJ",2
18,"FIN",91
18,"FRA",185
18,"FRG",299
18,"GAB",2
18,"GBR",255
18,"GDR",227
18,"GHA",20
18,"GRE",46
18,"GUA",8
18,"GUY",3
18,"HAI",7
18,"HKG",8
18,"HUN",170
18,"INA",10
18,"IND",29
18,"IRI",32
18,"IRL",59
18,"ISL",11
18,"ISR",13
18,"ISV",11
18,"ITA",172
18,"JAM",30
18,"JPN",136
18,"KEN",41
18,"KOR",25
18,"KSA",12
18,"KUW",6
18,"LBN",22
18,"LBR",7
18,"LES",1
18,"LIE",6
18,"LUX",11
18,"MAD",9
18,"MAR",18
18,"MAS",18
18,"MAW",16
18,"MEX",131
18,"MGL",39
18,"MLI",3
18,"MLT",2
18,"MON",5
18,"MYA",6
18,"NCA",9
18,"NED",86
18,"NEP",2
18,"NGR",22
18,"NIG",4
18,"NOR",77
18,"NZL",52
18,"PAK",13
18,"PAN",7
18,"PAR",4
18,"PER",20
18,"PHI",43
18,"POL",195
18,"POR",27
18,"PRK",25
18,"PUR",41
18,"ROU",115
18,"SEN",24
18,"SGP",7
18,"SMR",7
18,"SOM",4
18,"SRI",4
18,"SUD",13
18,"SUI",136
18,"SUR",2
18,"SWE",109
18,"SWZ",2
18,"SYR",5
18,"TAN",15
18,"TCH",108
18,"THA",32
18,"TOG",8
18,"TPE",22
18,"TTO",21
18,"TUN",10
18,"TUR",43
18,"UGA",17
18,"URS",265
18,"URU",11
18,"USA",315
18,"VEN",21
18,"VNM",2
18,"YUG",76
18,"ZAM",11
19,"AHO",4
19,"AND",3
19,"ANT",9
19,"ARG",53
19,"AUS",131
19,"AUT",59
19,"BAH",12
19,"BAR",10
19,"BEL",83
19,"BER",15
19,"BIZ",4
19,"BOL",4
19,"BRA",45
19,"BUL",123
19,"CAN",240
19,"CAY",1
19,"CHI",7
19,"CIV",7
19,"CMR",5
19,"COL",31
19,"CRC",5
19,"CUB",95
19,"DEN",41
19,"DOM",11
19,"ECU",5
19,"EGY",10
19,"ESP",71
19,"FIJ",2
19,"FIN",76
19,"FRA",162
19,"FRG",212
19,"GBR",212
19,"GDR",185
19,"GRE",33
19,"GUA",11
19,"HAI",13
19,"HKG",27
19,"HON",3
19,"HUN",134
19,"INA",7
19,"IND",11
19,"IRI",63
19,"IRL",34
19,"ISL",13
19,"ISR",11
19,"ISV",19
19,"ITA",161
19,"JAM",23
19,"JPN",142
19,"KOR",28
19,"KSA",14
19,"KUW",15
19,"LBN",3
19,"LIE",6
19,"LUX",8
19,"MAR",12
19,"MAS",8
19,"MEX",63
19,"MGL",32
19,"MON",6
19,"NCA",17
19,"NED",62
19,"NEP",1
19,"NOR",48
19,"NZL",48
19,"PAK",9
19,"PAN",8
19,"PAR",4
19,"PER",2
19,"PHI",13
19,"PNG",6
19,"POL",148
19,"POR",20
19,"PRK",24
19,"PUR",71
19,"ROU",103
19,"SEN",23
19,"SGP",4
19,"SMR",10
19,"SUI",45
19,"SUR",3
19,"SWE",108
19,"TCH",90
19,"THA",41
19,"TTO",12
19,"TUN",9
19,"TUR",27
19,"URS",272
19,"URU",10
19,"USA",313
19,"VEN",35
19,"YUG",50
20,"AFG",11
20,"ALG",31
20,"AND",2
20,"ANG",14
20,"AUS",86
20,"AUT",61
20,"BEL",54
20,"BEN",16
20,"BOT",7
20,"BRA",66
20,"BUL",192
20,"CGO",9
20,"CMR",25
20,"COL",7
20,"CRC",14
20,"CUB",103
20,"CYP",12
20,"DEN",33
20,"DOM",6
20,"ECU",11
20,"ESP",80
20,"ETH",38
20,"FIN",91
20,"FRA",109
20,"GBR",187
20,"GDR",241
20,"GRE",28
20,"GUA",9
20,"GUI",9
20,"GUY",8
20,"HUN",184
20,"IND",34
20,"IRL",40
20,"IRQ",27
20,"ISL",9
20,"ITA",113
20,"JAM",19
20,"JOR",4
20,"KUW",31
