"edition_id","year","code","participants"
13,1952,"HKG",4
13,1952,"HUN",149
13,1952,"INA",4
13,1952,"IND",40
13,1952,"IRI",25
13,1952,"IRL",45
13,1952,"ISL",13
13,1952,"ISR",15
13,1952,"ITA",163
13,1952,"JAM",9
13,1952,"JPN",70
13,1952,"KOR",20
13,1952,"LBN",9
13,1952,"LIE",2
13,1952,"LUX",39
13,1952,"MEX",54
13,1952,"MON",7
13,1952,"MYA",6
13,1952,"NED",74
13,1952,"NGR",10
13,1952,"NOR",82
13,1952,"NZL",11
13,1952,"PAK",28
13,1952,"PAN",5
13,1952,"PHI",14
13,1952,"POL",118
13,1952,"POR",67
13,1952,"PUR",22
13,1952,"ROU",104
13,1952,"RSA",55
13,1952,"SAA",34
13,1952,"SGP",5
13,1952,"SRI",6
13,1952,"SUI",122
13,1952,"SWE",175
13,1952,"TCH",84
13,1952,"THA",10
13,1952,"TTO",2
13,1952,"TUR",33
13,1952,"URS",242
13,1952,"URU",21
13,1952,"USA",232
13,1952,"VEN",42
13,1952,"VNM",10
13,1952,"YUG",68
14,1956,"AFG",1
14,1956,"ARG",25
14,1956,"AUS",224
14,1956,"AUT",28
14,1956,"BAH",3
14,1956,"BEL",40
14,1956,"BER",1
14,1956,"BRA",30
14,1956,"BUL",21
14,1956,"CAN",69
14,1956,"CHI",22
14,1956,"COL",32
14,1956,"CUB",8
14,1956,"DEN",23
14,1956,"ETH",15
14,1956,"FIJ",5
14,1956,"FIN",60
14,1956,"FRA",112
14,1956,"GBR",147
14,1956,"GER",115
14,1956,"GRE",12
14,1956,"GUY",4
14,1956,"HKG",2
14,1956,"HUN",96
14,1956,"INA",10
14,1956,"IND",27
14,1956,"IRI",17
14,1956,"IRL",13
14,1956,"ISL",2
14,1956,"ISR",3
14,1956,"ITA",93
14,1956,"JAM",7
14,1956,"JPN",89
14,1956,"KEN",13
14,1956,"KOR",26
14,1956,"LBR",7
14,1956,"LUX",12
14,1956,"MAL",17
14,1956,"MEX",26
14,1956,"MYA",10
14,1956,"NBO",2
14,1956,"NGR",11
14,1956,"NOR",14
14,1956,"NZL",28
14,1956,"PAK",47
14,1956,"PER",8
14,1956,"PHI",29
14,1956,"POL",61
14,1956,"POR",2
14,1956,"PUR",13
14,1956,"ROU",38
14,1956,"RSA",52
14,1956,"SGP",12
14,1956,"SRI",3
14,1956,"SWE",83
14,1956,"TCH",61
14,1956,"THA",17
14,1956,"TPE",10
14,1956,"TTO",7
14,1956,"TUR",13
14,1956,"UGA",3
14,1956,"URS",217
14,1956,"URU",11
14,1956,"USA",229
14,1956,"VEN",23
14,1956,"VNM",7
14,1956,"YUG",15
15,1960,"AFG",13
15,1960,"AHO",5
15,1960,"ARG",60
15,1960,"AUS",139
15,1960,"AUT",97
15,1960,"BAH",8
15,1960,"BEL",71
15,1960,"BER",4
15,1960,"BRA",38
15,1960,"BUL",80
15,1960,"CAN",71
15,1960,"CHI",9
15,1960,"COL",16
15,1960,"CUB",11
15,1960,"DEN",54
15,1960,"ESP",105
15,1960,"ETH",11
15,1960,"FIJ",2
15,1960,"FIN",107
15,1960,"FRA",162
15,1960,"GBR",194
15,1960,"GER",238
15,1960,"GHA",13
15,1960,"GRE",40
15,1960,"GUY",5
15,1960,"HAI",1
15,1960,"HKG",4
15,1960,"HUN",143
15,1960,"INA",23
15,1960,"IND",29
15,1960,"IRI",23
15,1960,"IRL",50
15,1960,"IRQ",21
15,1960,"ISL",9
15,1960,"ISR",24
15,1960,"ITA",188
15,1960,"JPN",124
15,1960,"KEN",11
15,1960,"KOR",37
15,1960,"LBN",18
15,1960,"LBR",5
15,1960,"LIE",5
15,1960,"LUX",50
15,1960,"MAL",9
15,1960,"MAR",51
15,1960,"MEX",62
15,1960,"MLT",10
15,1960,"MON",9
15,1960,"MYA",9
15,1960,"NED",71
15,1960,"NGR",11
15,1960,"NOR",34
15,1960,"NZL",23
15,1960,"PAK",33
15,1960,"PAN",6
15,1960,"PER",12
15,1960,"PHI",28
15,1960,"POL",148
15,1960,"POR",61
15,1960,"PUR",16
15,1960,"RHO",12
15,1960,"ROU",90
15,1960,"RSA",42
15,1960,"SGP",3
15,1960,"SMR",10
15,1960,"SRI",5
15,1960,"SUD",10
15,1960,"SUI",114
15,1960,"SWE",128
15,1960,"TCH",83
15,1960,"THA",18
15,1960,"TPE",16
15,1960,"TUN",32
15,1960,"TUR",38
15,1960,"UAR",41
15,1960,"UGA",12
15,1960,"URS",231
15,1960,"URU",21
15,1960,"USA",231
15,1960,"VEN",36
15,1960,"VNM",4
15,1960,"WIF",13
15,1960,"YUG",72
15,1960,"ZIM",2
16,1964,"AFG",8
16,1964,"AHO",4
16,1964,"ALG",1
16,1964,"ARG",82
16,1964,"AUS",186
16,1964,"AUT",52
16,1964,"BAH",6
16,1964,"BEL",34
16,1964,"BER",2
16,1964,"BOL",3
16,1964,"BRA",19
16,1964,"BUL",56
16,1964,"CAM",10
16,1964,"CAN",78
16,1964,"CGO",2
16,1964,"CHA",2
16,1964,"CHI",14
16,1964,"CIV",9
16,1964,"CMR",1
16,1964,"COL",22
16,1964,"CRC",2
16,1964,"CUB",21
16,1964,"DEN",42
16,1964,"DOM",1
16,1964,"EGY",33
16,1964,"ESP",39
16,1964,"ETH",13
16,1964,"FIN",72
16,1964,"FRA",117
16,1964,"GBR",183
16,1964,"GER",271
16,1964,"GHA",21
16,1964,"GRE",17
16,1964,"GUY",1
